model name:         HH_Blankenese_Bestand
No. of elements:                    14613
No. of Degrees of freedom:          29601

=========================================================================================================================

Sum of permanent loads
x-direction:        0.00e+00
y-direction:        0.00e+00
z-direction:       -3.60e+06

Sum of variable loads
x-direction:       -7.80e+04
y-direction:        0.00e+00
z-direction:        7.80e-13

=========================================================================================================================

     lbd_p    disp_p     lbd_v    disp_v     p/fcd    eps_cc   ip_cc        cw     eps_s   ip_cc
  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00       0  0.00e+00  0.00e+00       0
  1.00e-02 -5.03e-03  0.00e+00 -9.35e-04 -3.69e-04  0.00e+00       0  2.57e-03  0.00e+00       0
  2.20e-02 -1.11e-02  0.00e+00 -2.06e-03 -8.11e-04  0.00e+00       0  5.65e-03  0.00e+00       0
  3.64e-02 -1.83e-02  0.00e+00 -3.40e-03 -1.34e-03  0.00e+00       0  9.35e-03  0.00e+00       0
  5.37e-02 -2.70e-02  0.00e+00 -5.02e-03 -1.98e-03  0.00e+00       0  1.38e-02  0.00e+00       0
  7.44e-02 -3.74e-02  0.00e+00 -6.96e-03 -2.74e-03  0.00e+00       0  1.91e-02  0.00e+00       0
  9.93e-02 -4.99e-02  0.00e+00 -9.28e-03 -3.66e-03  0.00e+00       0  2.55e-02  0.00e+00       0
  1.29e-01 -6.50e-02  0.00e+00 -1.21e-02 -4.76e-03  0.00e+00       0  3.32e-02  0.00e+00       0
  1.65e-01 -8.30e-02  0.00e+00 -1.54e-02 -6.09e-03  0.00e+00       0  4.24e-02  0.00e+00       0
  2.08e-01 -1.05e-01  0.00e+00 -1.94e-02 -7.67e-03  0.00e+00       0  5.34e-02  0.00e+00       0
  2.60e-01 -1.31e-01  0.00e+00 -2.43e-02 -9.57e-03  0.00e+00       0  6.67e-02  0.00e+00       0
  3.22e-01 -1.62e-01  0.00e+00 -3.01e-02 -1.19e-02  0.00e+00       0  8.26e-02  0.00e+00       0
  3.96e-01 -1.99e-01  0.00e+00 -3.70e-02 -1.46e-02  0.00e+00       0  1.02e-01  0.00e+00       0
  4.85e-01 -2.44e-01  0.00e+00 -4.53e-02 -1.79e-02  0.00e+00       0  1.25e-01  0.00e+00       0
  5.92e-01 -2.98e-01  0.00e+00 -5.53e-02 -2.18e-02  0.00e+00       0  1.52e-01  0.00e+00       0
  7.20e-01 -3.62e-01  0.00e+00 -6.73e-02 -2.66e-02  0.00e+00       0  1.85e-01  0.00e+00       0
  8.74e-01 -4.40e-01  0.00e+00 -8.17e-02 -3.23e-02  0.00e+00       0  2.02e-01  3.35e-06   56824
  1.00e+00 -5.03e-01  0.00e+00 -9.39e-02 -3.68e-02  0.00e+00       0  2.02e-01  1.17e-05   56824

=========================================================================================================================

