model name:                  Simple Shear
No. of elements:                       24
No. of Degrees of freedom:             63

=========================================================================================================================

Sum of permanent loads
x-direction:        0.00e+00
y-direction:        0.00e+00
z-direction:        0.00e+00

Sum of variable loads
x-direction:       -1.42e-14
y-direction:        0.00e+00
z-direction:        0.00e+00

=========================================================================================================================

     lbd_p    disp_p     lbd_v    disp_v     p/fcd    eps_cc   ip_cc        cw     eps_s   ip_cc
  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00       0  0.00e+00  0.00e+00       0
  0.00e+00  1.87e-04  3.00e-01  1.87e-04 -1.90e-17  0.00e+00       0  5.78e-16  0.00e+00       0
  0.00e+00  4.12e-04  6.60e-01  4.12e-04 -4.09e-17  0.00e+00       0  1.31e-15  0.00e+00       0
  0.00e+00  6.82e-04  1.09e+00  6.82e-04 -6.46e-17  0.00e+00       0  2.06e-15  0.00e+00       0
  0.00e+00  1.01e-03  1.61e+00  1.01e-03 -9.55e-17  0.00e+00       0  3.10e-15  0.00e+00       0
  0.00e+00  1.33e-03  1.73e+00  1.43e-03 -7.13e-06  0.00e+00       0  2.66e-16  0.00e+00       0
  0.00e+00  1.68e-03  1.73e+00  1.93e-03  5.92e-06  0.00e+00       0  9.01e-06  0.00e+00       0
  0.00e+00  2.11e-03  1.73e+00  2.53e-03 -3.83e-06  0.00e+00       0  3.94e-16  0.00e+00       0
  0.00e+00  2.63e-03  1.74e+00  3.24e-03 -4.27e-06  0.00e+00       0  3.93e-16  0.00e+00       0
  0.00e+00  3.26e-03  1.76e+00  4.09e-03 -6.47e-06  0.00e+00       0  3.39e-16  0.00e+00       0
  0.00e+00  4.01e-03  1.79e+00  5.11e-03 -9.92e-06  0.00e+00       0  3.24e-16  0.00e+00       0
  0.00e+00  4.91e-03  1.84e+00  6.31e-03 -2.23e-06  0.00e+00       0  1.27e-06  0.00e+00       0
  0.00e+00  6.00e-03  1.90e+00  7.75e-03 -4.88e-06  0.00e+00       0  2.18e-06  0.00e+00       0
  0.00e+00  7.30e-03  1.97e+00  9.45e-03 -5.70e-06  0.00e+00       0  7.60e-07  0.00e+00       0
  0.00e+00  8.61e-03  2.05e+00  1.11e-02 -5.03e-06  0.00e+00       0  5.28e-07  0.00e+00       0
  0.00e+00  9.91e-03  2.14e+00  1.28e-02 -4.44e-06  0.00e+00       0  3.48e-07  0.00e+00       0
  0.00e+00  1.12e-02  2.23e+00  1.45e-02 -5.19e-06  0.00e+00       0  2.52e-06  0.00e+00       0
  0.00e+00  1.28e-02  2.33e+00  1.65e-02 -6.15e-06  0.00e+00       0  6.83e-07  0.00e+00       0
  0.00e+00  1.43e-02  2.44e+00  1.84e-02 -5.01e-06  0.00e+00       0  4.29e-07  0.00e+00       0
  0.00e+00  1.59e-02  2.55e+00  2.04e-02 -5.29e-06  0.00e+00       0  2.61e-06  0.00e+00       0
  0.00e+00  1.77e-02  2.69e+00  2.27e-02 -6.19e-06  0.00e+00       0  7.01e-07  0.00e+00       0
  0.00e+00  1.96e-02  2.82e+00  2.51e-02 -6.26e-06  0.00e+00       0  2.91e-06  0.00e+00       0
  0.00e+00  2.18e-02  2.99e+00  2.78e-02 -6.88e-06  0.00e+00       0  9.23e-07  0.00e+00       0
  0.00e+00  2.40e-02  3.16e+00  3.06e-02 -5.18e-06  0.00e+00       0  5.69e-07  0.00e+00       0
  0.00e+00  2.62e-02  3.33e+00  3.34e-02 -4.95e-06  0.00e+00       0  2.42e-06  0.00e+00       0
  0.00e+00  2.89e-02  3.54e+00  3.67e-02 -5.53e-06  0.00e+00       0  7.16e-07  0.00e+00       0
  0.00e+00  3.15e-02  3.75e+00  4.00e-02 -5.07e-06  0.00e+00       0  2.38e-06  0.00e+00       0
  0.00e+00  3.47e-02  3.95e+00  4.39e-02 -6.88e-06  0.00e+00       0  1.56e-06  1.06e-04      45
  0.00e+00  3.78e-02  4.06e+00  4.77e-02 -7.36e-06  0.00e+00       0  1.62e-06  3.66e-04      45
  0.00e+00  4.08e-02  4.16e+00  5.15e-02 -7.17e-06  0.00e+00       0  1.78e-06  6.33e-04      45
  0.00e+00  4.39e-02  4.25e+00  5.52e-02 -6.64e-06  0.00e+00       0  1.65e-06  9.07e-04      45
  0.00e+00  4.69e-02  4.34e+00  5.89e-02 -6.15e-06  0.00e+00       0  1.53e-06  1.19e-03      45
  0.00e+00  4.99e-02  4.42e+00  6.25e-02 -5.70e-06  0.00e+00       0  1.43e-06  1.47e-03      45
  0.00e+00  5.28e-02  4.50e+00  6.61e-02 -5.29e-06  0.00e+00       0  1.33e-06  1.76e-03      45
  0.00e+00  5.58e-02  4.58e+00  6.96e-02 -4.91e-06  0.00e+00       0  1.24e-06  2.05e-03      45
  0.00e+00  5.87e-02  4.65e+00  7.31e-02 -8.74e-06  0.00e+00       0  1.19e-06  2.35e-03      45
  0.00e+00  6.16e-02  4.72e+00  7.66e-02 -8.36e-06  0.00e+00       0  1.09e-06  2.65e-03      45
  0.00e+00  6.44e-02  4.78e+00  8.00e-02 -7.84e-06  0.00e+00       0  9.70e-07  2.96e-03      45
  0.00e+00  6.73e-02  4.84e+00  8.34e-02 -7.39e-06  0.00e+00       0  8.71e-07  3.27e-03      45
  0.00e+00  7.01e-02  4.90e+00  8.67e-02 -6.98e-06  0.00e+00       0  7.85e-07  3.58e-03      45
  0.00e+00  7.29e-02  4.96e+00  9.00e-02 -6.60e-06  0.00e+00       0  7.08e-07  3.89e-03      45
  0.00e+00  7.57e-02  5.02e+00  9.33e-02 -6.26e-06  0.00e+00       0  6.39e-07  4.21e-03      45
