model name:   VM_Uniaxial_Tension_Example
No. of elements:                       11
No. of Degrees of freedom:             44

=========================================================================================================================

Sum of permanent loads
x-direction:        1.83e-13
y-direction:        6.23e-14
z-direction:        2.00e+03

Sum of variable loads
x-direction:        0.00e+00
y-direction:        0.00e+00
z-direction:        0.00e+00

=========================================================================================================================

     lbd_p    disp_p     lbd_v    disp_v     p/fcd    eps_cc    eps_ct     eps_s
  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
  2.00e-01  8.45e-05  0.00e+00 -1.77e-06  2.24e-02  0.00e+00  0.00e+00  0.00e+00
  3.00e-01  1.27e-04  0.00e+00 -2.45e-06  3.37e-02  0.00e+00  2.11e-07  1.96e-07
  3.50e-01  1.48e-04  0.00e+00 -1.04e-06  3.92e-02  0.00e+00  5.67e-07  5.36e-07
  3.91e-01  1.65e-04  0.00e+00  1.56e-06  4.38e-02  0.00e+00  9.83e-07  9.47e-07
  4.32e-01  1.83e-04  0.00e+00  4.77e-06  4.84e-02  0.00e+00  1.43e-06  1.39e-06
  4.82e-01  2.04e-04  0.00e+00  8.95e-06  5.39e-02  0.00e+00  1.97e-06  1.94e-06
  5.41e-01  2.29e-04  0.00e+00  1.40e-05  6.05e-02  0.00e+00  2.69e-06  2.68e-06
  6.12e-01  2.59e-04  0.00e+00  2.02e-05  6.84e-02  0.00e+00  3.62e-06  3.61e-06
  6.97e-01  2.95e-04  0.00e+00  2.80e-05  7.79e-02  0.00e+00  4.78e-06  4.76e-06
  7.81e-01  3.31e-04  0.00e+00  3.64e-05  8.73e-02  0.00e+00  5.98e-06  5.96e-06

=========================================================================================================================

