model name:                        column
No. of elements:                      264
No. of Degrees of freedom:            605

=========================================================================================================================

Sum of permanent loads
x-direction:        0.00e+00
y-direction:        0.00e+00
z-direction:       -5.31e-10

Sum of variable loads
x-direction:        5.20e+04
y-direction:        0.00e+00
z-direction:        0.00e+00

=========================================================================================================================

     lbd_p    disp_p     lbd_v    disp_v     p/fcd    eps_cc    eps_ct     eps_s
  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
  1.00e-01 -1.82e-02  0.00e+00 -1.24e-14 -7.59e-04  0.00e+00  0.00e+00  0.00e+00
  2.20e-01 -4.00e-02  0.00e+00 -2.72e-14 -1.67e-03  0.00e+00  0.00e+00  0.00e+00
  3.64e-01 -6.62e-02  0.00e+00 -4.50e-14 -2.76e-03  0.00e+00  0.00e+00  0.00e+00
  5.37e-01 -9.76e-02  0.00e+00 -6.64e-14 -4.07e-03  0.00e+00  0.00e+00  0.00e+00
  7.44e-01 -1.35e-01  0.00e+00 -9.20e-14 -5.65e-03  0.00e+00  0.00e+00  0.00e+00
  9.93e-01 -1.81e-01  0.00e+00 -1.23e-13 -7.54e-03  0.00e+00  0.00e+00  0.00e+00
  1.00e+00 -1.82e-01  0.00e+00 -1.24e-13 -7.59e-03  0.00e+00  0.00e+00  0.00e+00
  1.00e+00 -4.37e-02  2.00e-01  7.76e-01 -1.22e-02  0.00e+00  0.00e+00  0.00e+00
  1.00e+00  1.23e-01  4.34e-01  1.71e+00 -2.01e-02  0.00e+00  6.98e-06  6.98e-06
  1.00e+00  3.38e-01  5.93e-01  2.86e+00 -2.88e-02  0.00e+00  5.31e-05  5.31e-05
  1.00e+00  5.75e-01  6.66e-01  4.02e+00 -3.58e-02  0.00e+00  1.21e-04  1.20e-04
  1.00e+00  8.21e-01  7.13e-01  5.19e+00 -4.15e-02  0.00e+00  2.03e-04  2.03e-04
  1.00e+00  1.07e+00  7.46e-01  6.36e+00 -4.75e-02  0.00e+00  2.92e-04  2.92e-04
  1.00e+00  1.33e+00  7.72e-01  7.54e+00 -5.31e-02  0.00e+00  3.95e-04  3.94e-04
  1.00e+00  1.60e+00  7.93e-01  8.71e+00 -5.80e-02  0.00e+00  5.05e-04  5.05e-04
  1.00e+00  1.92e+00  8.11e-01  1.01e+01 -6.40e-02  0.00e+00  6.46e-04  6.46e-04
  1.00e+00  2.24e+00  8.26e-01  1.15e+01 -6.93e-02  0.00e+00  7.96e-04  7.96e-04
  1.00e+00  2.57e+00  8.35e-01  1.29e+01 -7.41e-02  0.00e+00  9.55e-04  9.55e-04
  1.00e+00  2.74e+00  8.37e-01  1.37e+01 -7.61e-02  0.00e+00  1.04e-03  1.04e-03
  1.00e+00  2.91e+00  8.38e-01  1.44e+01 -7.83e-02  0.00e+00  1.13e-03  1.13e-03
  1.00e+00  3.07e+00  8.38e-01  1.51e+01 -8.08e-02  0.00e+00  1.23e-03  1.23e-03
  1.00e+00  3.27e+00  8.39e-01  1.60e+01 -8.38e-02  0.00e+00  1.35e-03  1.35e-03
  1.00e+00  3.51e+00  8.42e-01  1.70e+01 -8.70e-02  0.00e+00  1.49e-03  1.49e-03
  1.00e+00  3.75e+00  8.44e-01  1.80e+01 -8.97e-02  0.00e+00  1.63e-03  1.63e-03
  1.00e+00  4.04e+00  8.47e-01  1.93e+01 -9.24e-02  0.00e+00  1.81e-03  1.80e-03
  1.00e+00  4.39e+00  8.49e-01  2.08e+01 -9.50e-02  0.00e+00  2.02e-03  2.02e-03
  1.00e+00  4.81e+00  8.51e-01  2.26e+01 -9.76e-02  0.00e+00  2.27e-03  2.27e-03
  1.00e+00  5.31e+00  8.54e-01  2.47e+01 -1.00e-01  0.00e+00  2.58e-03  2.58e-03
  1.00e+00  5.82e+00  8.57e-01  2.69e+01 -1.03e-01  0.00e+00  2.91e-03  2.91e-03
  1.00e+00  6.32e+00  8.59e-01  2.90e+01 -1.05e-01  0.00e+00  3.28e-03  3.28e-03
  1.00e+00  6.83e+00  8.62e-01  3.11e+01 -1.06e-01  0.00e+00  3.65e-03  3.65e-03
  1.00e+00  7.43e+00  8.64e-01  3.37e+01 -1.06e-01  0.00e+00  4.10e-03  4.10e-03
  1.00e+00  8.17e+00  8.66e-01  3.68e+01 -1.06e-01  0.00e+00  4.65e-03  4.65e-03
  1.00e+00  9.05e+00  8.67e-01  4.05e+01 -1.06e-01  0.00e+00  5.32e-03  5.32e-03
  1.00e+00  9.93e+00  8.68e-01  4.42e+01 -1.06e-01  0.00e+00  5.99e-03  5.99e-03
  1.00e+00  1.08e+01  8.69e-01  4.79e+01 -1.05e-01  0.00e+00  6.68e-03  6.68e-03
  1.00e+00  1.17e+01  8.69e-01  5.15e+01 -1.05e-01  0.00e+00  7.38e-03  7.38e-03

=========================================================================================================================

