model name:                      column_3
No. of elements:                      646
No. of Degrees of freedom:           1445

=========================================================================================================================

Sum of permanent loads
x-direction:        0.00e+00
y-direction:        0.00e+00
z-direction:       -4.64e+05

Sum of variable loads
x-direction:        4.54e+04
y-direction:        3.39e+03
z-direction:        0.00e+00

=========================================================================================================================

     lbd_p    disp_p     lbd_v    disp_v     p/fcd    eps_cc   ip_cc        cw     eps_s   ip_cc
  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00       0  0.00e+00  0.00e+00       0
  1.00e-01  5.48e+00  0.00e+00  5.48e+00 -1.99e-02  0.00e+00       0  8.31e-03  0.00e+00       0
  2.20e-01  1.20e+01  0.00e+00  1.20e+01 -4.38e-02  0.00e+00       0  1.83e-02  0.00e+00       0
  3.52e-01  1.99e+01  0.00e+00  1.99e+01 -7.09e-02  0.00e+00       0  3.38e-02  3.43e-05    1584
  4.46e-01  2.94e+01  0.00e+00  2.94e+01 -9.31e-02  0.00e+00       0  5.92e-02  1.13e-04    1584
  5.20e-01  3.89e+01  0.00e+00  3.89e+01 -1.12e-01  0.00e+00       0  8.85e-02  2.03e-04    1584
  5.83e-01  4.84e+01  0.00e+00  4.84e+01 -1.31e-01  0.00e+00       0  1.25e-01  3.15e-04    1584
  6.10e-01  5.32e+01  0.00e+00  5.32e+01 -1.39e-01  0.00e+00       0  1.52e-01  3.97e-04    1584
  6.31e-01  5.72e+01  0.00e+00  5.72e+01 -1.47e-01  0.00e+00       0  1.76e-01  4.71e-04    1584
  6.45e-01  6.12e+01  0.00e+00  6.12e+01 -1.53e-01  0.00e+00       0  2.01e-01  5.45e-04    1584
  6.58e-01  6.52e+01  0.00e+00  6.52e+01 -1.58e-01  0.00e+00       0  2.23e-01  6.12e-04    1584

=========================================================================================================================

