model name:                 concrete_beam
No. of elements:                      144
No. of Degrees of freedom:            369

=========================================================================================================================

Sum of permanent loads
x-direction:        0.00e+00
y-direction:        0.00e+00
z-direction:        0.00e+00

Sum of variable loads
x-direction:        2.04e-12
y-direction:        1.51e-12
z-direction:        2.88e+04

=========================================================================================================================

     lbd_p    disp_p     lbd_v    disp_v     p/fcd    eps_cc   ip_cc        cw     eps_s   ip_cc
  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00       0  0.00e+00  0.00e+00       0
  1.00e-01  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00       0  0.00e+00  0.00e+00       0
  2.20e-01  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00       0  0.00e+00  0.00e+00       0
  3.64e-01  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00       0  0.00e+00  0.00e+00       0
  5.37e-01  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00       0  0.00e+00  0.00e+00       0
  7.44e-01  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00       0  0.00e+00  0.00e+00       0
  9.93e-01  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00       0  0.00e+00  0.00e+00       0
  1.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00       0  0.00e+00  0.00e+00       0
  1.00e+00  9.13e-01  3.16e-01 -5.29e+00 -3.40e-02  0.00e+00       0  3.49e-02  1.65e-04     135
  1.00e+00  1.12e+00  3.35e-01 -6.64e+00 -4.00e-02  0.00e+00       0  5.18e-02  2.46e-04     135
  1.00e+00  1.30e+00  3.48e-01 -7.77e+00 -4.48e-02  0.00e+00       0  6.67e-02  3.18e-04     135
  1.00e+00  1.50e+00  3.59e-01 -9.13e+00 -4.95e-02  0.00e+00       0  8.57e-02  4.09e-04     135
  1.00e+00  1.71e+00  3.69e-01 -1.05e+01 -5.36e-02  0.00e+00       0  1.05e-01  5.02e-04     135
  1.00e+00  1.95e+00  3.77e-01 -1.21e+01 -5.79e-02  0.00e+00       0  1.31e-01  6.21e-04     135
  1.00e+00  2.19e+00  3.85e-01 -1.38e+01 -6.26e-02  0.00e+00       0  1.57e-01  7.45e-04     135
  1.00e+00  2.24e+00  3.86e-01 -1.41e+01 -6.35e-02  0.00e+00       0  1.63e-01  7.69e-04     135
  1.00e+00  2.29e+00  3.88e-01 -1.44e+01 -6.42e-02  0.00e+00       0  1.69e-01  7.96e-04     135
  1.00e+00  2.35e+00  3.89e-01 -1.48e+01 -6.47e-02  0.00e+00       0  1.76e-01  8.33e-04     135
  1.00e+00  2.42e+00  3.90e-01 -1.53e+01 -6.52e-02  0.00e+00       0  1.86e-01  8.78e-04     135
  1.00e+00  2.51e+00  3.91e-01 -1.59e+01 -6.61e-02  0.00e+00       0  1.98e-01  9.32e-04     135
  1.00e+00  2.61e+00  3.92e-01 -1.67e+01 -6.78e-02  0.00e+00       0  2.14e-01  1.00e-03     135
  1.00e+00  2.73e+00  3.93e-01 -1.75e+01 -6.97e-02  0.00e+00       0  2.33e-01  1.09e-03     133
  1.00e+00  2.87e+00  3.93e-01 -1.86e+01 -7.18e-02  0.00e+00       0  2.59e-01  1.20e-03     133
  1.00e+00  3.01e+00  3.94e-01 -1.96e+01 -7.39e-02  0.00e+00       0  2.85e-01  1.32e-03     133
  1.00e+00  3.18e+00  3.95e-01 -2.09e+01 -7.66e-02  0.00e+00       0  3.16e-01  1.46e-03     133
  1.00e+00  3.39e+00  3.96e-01 -2.24e+01 -7.99e-02  0.00e+00       0  3.54e-01  1.63e-03     133
  1.00e+00  3.63e+00  3.98e-01 -2.42e+01 -8.37e-02  0.00e+00       0  3.99e-01  1.84e-03     144
  1.00e+00  3.93e+00  4.00e-01 -2.64e+01 -8.84e-02  0.00e+00       0  4.53e-01  2.09e-03     144
  1.00e+00  4.23e+00  4.02e-01 -2.86e+01 -9.23e-02  0.00e+00       0  5.08e-01  2.35e-03     144
  1.00e+00  4.58e+00  4.04e-01 -3.12e+01 -9.64e-02  0.00e+00       0  5.73e-01  2.65e-03     144
  1.00e+00  5.01e+00  4.06e-01 -3.44e+01 -1.01e-01  0.00e+00       0  6.50e-01  3.02e-03     144
  1.00e+00  5.52e+00  4.07e-01 -3.81e+01 -1.07e-01  0.00e+00       0  7.45e-01  3.47e-03     223
  1.00e+00  6.13e+00  4.09e-01 -4.26e+01 -1.13e-01  0.00e+00       0  8.59e-01  4.01e-03     223
  1.00e+00  6.87e+00  4.11e-01 -4.81e+01 -1.21e-01  0.00e+00       0  9.95e-01  4.65e-03     223
  1.00e+00  7.75e+00  4.13e-01 -5.46e+01 -1.30e-01  0.00e+00       0  1.16e+00  5.43e-03     223
  1.00e+00  8.81e+00  4.15e-01 -6.24e+01 -1.37e-01  0.00e+00       0  1.36e+00  6.36e-03     223
  1.00e+00  9.86e+00  4.16e-01 -7.02e+01 -1.39e-01  0.00e+00       0  1.55e+00  7.28e-03     223
  1.00e+00  1.07e+01  4.17e-01 -7.67e+01 -1.40e-01  0.00e+00       0  1.72e+00  8.05e-03     223

=========================================================================================================================

