model name: fcFEM_plate_with_hole_Example
No. of elements:                      472
No. of Degrees of freedom:           1019

=========================================================================================================================

Sum of loads x-direction:        5.00e+04
Sum of loads y-direction:        7.27e-27
Sum of loads z-direction:       -1.42e+01

=========================================================================================================================

Gauss point         x         y         z      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
          0  7.85e+01  3.89e+01  2.06e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
          0  7.85e+01  3.89e+01  2.06e+00  7.00e-03  4.33e-04  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
          0  7.85e+01  3.89e+01  2.06e+00  1.33e-02  9.43e-04  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
          0  7.85e+01  3.89e+01  2.06e+00  1.53e-02  1.17e-03  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
          0  7.85e+01  3.89e+01  2.06e+00  1.67e-02  1.36e-03  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
          0  7.85e+01  3.89e+01  2.06e+00  1.74e-02  1.56e-03  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
          0  7.85e+01  3.89e+01  2.06e+00  1.76e-02  1.79e-03  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
          0  7.85e+01  3.89e+01  2.06e+00  1.76e-02  2.07e-03  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
          0  7.85e+01  3.89e+01  2.06e+00  1.76e-02  2.40e-03  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
          0  7.85e+01  3.89e+01  2.06e+00  1.76e-02  2.73e-03  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
          0  7.85e+01  3.89e+01  2.06e+00  1.76e-02  3.13e-03  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00

=========================================================================================================================

