model name:                 wall_tutorial
No. of elements:                     2443
No. of Degrees of freedom:           4821

=========================================================================================================================

Sum of permanent loads
x-direction:        0.00e+00
y-direction:        0.00e+00
z-direction:       -3.06e+04

Sum of variable loads
x-direction:        0.00e+00
y-direction:        0.00e+00
z-direction:       -1.00e+06

=========================================================================================================================

     lbd_p    disp_p     lbd_v    disp_v     p/fcd    eps_cc   ip_cc        cw     eps_s   ip_cc
  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00       0  0.00e+00  0.00e+00       0
  6.56e-03 -9.56e-03  6.56e-03 -9.70e-03 -3.59e-03  0.00e+00       0  1.33e-03  0.00e+00       0
  1.12e-02 -1.76e-02  1.12e-02 -1.78e-02 -6.25e-03  0.00e+00       0  2.41e-03  0.00e+00       0
  1.52e-02 -2.44e-02  1.52e-02 -2.46e-02 -8.50e-03  0.00e+00       0  3.28e-03  0.00e+00       0
  2.02e-02 -3.27e-02  2.02e-02 -3.27e-02 -1.12e-02  0.00e+00       0  4.32e-03  0.00e+00       0
  2.61e-02 -4.26e-02  2.61e-02 -4.26e-02 -1.46e-02  0.00e+00       0  5.57e-03  0.00e+00       0
  3.33e-02 -5.45e-02  3.33e-02 -5.44e-02 -1.86e-02  0.00e+00       0  7.05e-03  0.00e+00       0
  4.19e-02 -6.88e-02  4.19e-02 -6.86e-02 -2.34e-02  0.00e+00       0  8.85e-03  0.00e+00       0
  5.22e-02 -8.61e-02  5.22e-02 -8.56e-02 -2.91e-02  0.00e+00       0  1.10e-02  0.00e+00       0
  6.46e-02 -1.07e-01  6.46e-02 -1.06e-01 -3.60e-02  0.00e+00       0  1.36e-02  0.00e+00       0
  7.95e-02 -1.32e-01  7.95e-02 -1.31e-01 -4.43e-02  0.00e+00       0  1.68e-02  0.00e+00       0

=========================================================================================================================

